"No,Category,Title,Target & Goal,Part 1: 序論・歴史 (必須: 歴史/生物学),Part 2: 基礎理論 (必須: 概念図),Part 3: データ・変数 (必須: グラフ/閾値),Part 4: プロトコル (必須: 具体的手順)"
"1,Chemical Reaction,メイラード反応の統一理論：「美味しい焼き色」の正体と制御術,全ての料理人。焼き色の化学的意味を知り、意図的に制御する。,進化論的視点：なぜ焦げ臭を好むか？ / 1912年ルイ・メイラードの発見,アミノ酸＋還元糖の結合モデル / メイラードvsキャラメリゼ比較表,温度vs反応速度曲線（閾値:155℃） / 水分活性の影響,Protocol A: ステーキの脱水とアロゼ / Protocol B: 重曹による飴色玉ねぎ時短術"
"2,Emulsion,乳化のパラドクス：水と油を「物理的」に接着する界面化学,ソース担当、パティシエ。分離の恐怖を克服し、乳化を永続させる。,18世紀マヨネーズの起源 / 「水と油」が混ざらない熱力学的理由,界面活性剤（レシチン）の親水基・疎水基モデル / O/W型とW/O型の違い,剪断力（Shear Force）vs 油滴サイズ / 温度と乳化安定性の相関,Protocol: マヨネーズの黄金比 / 分離したソースのリカバリー法（呼び水）"
"3,Protein / Meat,ミオグロビンの変色ロジック：肉の色が「赤→褐→桃」へ変わる化学,精肉担当。肉の鮮度管理と、加熱による色変化の制御。,食肉の色の歴史 / ヘム鉄と酸素結合の生物学的役割,オキシミオグロビン・メトミオグロビンの酸化還元サイクル図,中心温度vs変色率グラフ（60℃・65℃・70℃の壁）,Protocol: ローストビーフの「バラ色」固定化 / 変色した肉のリカバリー（還元）"
"4,Protein / Meat,コラーゲンの熱分解：硬い肉を「ゼラチン」に変えるＴ-Ｔカーブ,煮込み料理担当。長時間煮込みの科学的根拠と圧力鍋の是非。,コラーゲンの構造的役割 / 膠（にかわ）の歴史,三重螺旋構造の熱崩壊（ほどけ）モデル / ゾル化とゲル化,温度×時間の積分値（Time-Temperature）チャート / 圧力鍋の温度曲線,Protocol: 牛スネ肉の最適煮込み温度（80℃ vs 100℃） / 酵素（パイナップル）の活用"
"5,Protein / Meat,浸透圧と拡散係数：「塩」をいつ振るべきかの数理モデル,全ての料理人。脱水と味付けの目的別使い分け。,保存食としての塩の歴史 / 細胞膜とイオンチャンネル,Na+とCl-の拡散モデル / 筋原繊維タンパク質の溶解性変化,塩分濃度vs保水性（WHC）グラフ / 浸透時間の計算式,Protocol: ステーキは焼く40分前か直前か / 魚の「紙塩」技法 / ソミュール液の濃度比"
"6,Protein / Egg,卵の熱凝固ヒステリシス：63℃〜70℃の「タンパク質変性リレー」,朝食担当、パティシエ。温泉卵とスクランブルエッグの完全制御。,卵料理の進化 / オボアルブミンとオボトランスフェリンの特性差,ゲルネットワーク形成図 / 卵黄と卵白の凝固温度差モデル,温度vs粘度上昇カーブ / 加熱時間による硬化グラフ,Protocol: 完璧な温泉卵（67℃ 30分） / トロトロスクランブルエッグの余熱計算"
"7,Carbohydrate,澱粉の糊化と老化 (Gelatinization & Retrogradation)：米とパスタの物理学,イタリアン、和食。麺のコシ、冷やご飯の活用。,農耕革命とデンプン / アミロースとアミロペクチンの分子構造,糊化（吸水・膨潤・崩壊）のプロセス図 / 老化（再結晶化）のメカニズム,温度・水分量vs糊化度グラフ / 老化速度と温度（4℃が最速）の関係,Protocol: リゾットの「マンテカトゥーラ（乳化）」 / チャーハンに冷や飯を使う理由 / パスタのアルデンテ維持"
"8,Lipid / Fat,油脂の酸化と発煙点 (Smoke Point)：劣化を防ぐフライヤー管理術,揚げ場担当。油の寿命を延ばし、カラッと揚げる。,油脂の歴史 / 脂肪酸（飽和・不飽和）の構造と酸化安定性,加水分解・重合・酸化の劣化サイクル図 / 遊離脂肪酸の生成,各油脂の発煙点リスト / 揚げ回数vs酸価（AV）上昇グラフ,Protocol: 揚げ油の寿命判断基準 / 差し油（新しい油の添加）の効果 / 揚げカスの化学的除去"
"9,Flavor / Aroma,揮発性香気成分の「抽出」理論：水溶性と脂溶性の使い分け,バーテンダー、ソース担当。スパイスとハーブの香りを最大化する。,香辛料の貿易史 / 鼻腔（オルソ）と咽頭（レトロ）の嗅覚経路,疎水性相互作用モデル / マスキング効果の図解,温度vs揮発量グラフ / アルコール濃度と抽出効率,Protocol: スパイスのテンパリング（油での抽出） / ハーブティーの適温 / バニラの抽出溶媒"
